Gene,PeakRatio,PeakCall,5_UTR,uORF,Structure,InitH,InitC,Length,Intron,5Speed,AvSpeed,minSpeed,tAI,3_UTR,poly_P,poly_KR
YAL001C,0.0,False,20,0,0.0,0.17021666666666666,0.0276,1160,1,0.46609999999999996,0.25985034482758623,0.46442999999999995,0.24910117162895565,64,2,4
YAL002W,0.9230769230769231,True,0,0,0.0,1.3788224999999998,0.012190000000000001,1274,0,0.24269999999999997,0.27218634222919935,0.46545,0.228958076003249,0,2,2
YAL003W,0.14705882352941177,False,253,0,0.959186018957346,11.3945744295302,0.35975,206,1,0.1578,0.1324233009708738,0.16094999999999998,0.39951603706306343,210,1,2
YAL005C,0.39505119453924914,False,64,0,0.9255044811320755,342.2545142372881,,642,0,0.18880000000000002,0.1363766355140187,0.2629,0.3405620444808686,127,2,3
YAL007C,0.9411764705882353,False,68,0,0.4188920427553445,215.93869,0.08639,215,0,0.25379999999999997,0.20838790697674422,0.2958,0.2698836734210368,126,1,2
YAL008W,0.3870967741935484,False,71,0,0.0,58.252100000000006,0.1505,198,0,0.1689,0.2442070707070707,0.36519999999999997,0.24034588479496657,134,1,2
YAL009W,0.5,False,26,0,0.05750380021715528,1.073655,0.04768,259,0,0.3479,0.258376833976834,0.38925,0.23003255720519045,115,1,4
YAL010C,0.5,False,20,0,0.0,36.46344,0.07368999999999999,493,0,0.4197,0.26144624746450307,0.44800000000000006,0.21131633177141346,99,1,2
YAL011W,0.0,False,67,0,0.0,35.803365,0.041319999999999996,625,0,0.23346,0.25330336000000003,0.44305000000000005,0.28574749030463403,99,2,6
YAL012W,0.31422505307855625,False,66,0,1.0314955621301773,11.6990325,0.17811,394,0,0.15539999999999998,0.19304568527918783,0.34465,0.2800865862330261,101,1,2
YAL013W,0.1111111111111111,False,34,0,0.138355754857997,,0.09351,405,0,0.41559999999999997,0.29043061728395064,0.4769500000000001,0.2980068247532154,42,2,2
YAL014C,0.2619047619047619,False,50,1,0.4235894736842105,3.125628,0.04573,255,0,0.20059999999999997,0.33517725490196076,0.5991,0.27260580255806455,138,2,2
YAL015C,0.75,False,0,0,0.08361977186311788,3.2833349999999997,0.056979999999999996,399,0,0.2151,0.2801423558897243,0.51808,0.2705069016262666,115,2,3
YAL016W,0.9306930693069307,False,97,0,0.31876794742163805,35.46771,0.10234,635,0,0.31216000000000005,0.251168188976378,0.5318000000000002,0.2652119386264434,70,1,2
YAL017W,0.3157894736842105,False,368,0,0.0,375.223576,0.03363,1356,0,0.40800000000000003,0.2697342182890855,0.53555,0.23354861013683897,189,4,3
YAL018C,0.0,False,50,0,0.0,,0.14403,325,0,0.3027,0.24290400000000004,0.3713,0.23292882218086342,0,1,2
YAL019W,1.0,False,104,0,0.0,122.24019000000001,,1131,0,0.39690000000000003,0.24585534924845273,0.5766499999999999,0.26667383594976085,62,3,5
YAL020C,1.0,False,4,0,0.15829249762583097,,0.08617000000000001,333,0,0.21630000000000002,0.310615015015015,0.4692,0.23286659883135194,51,1,2
YAL021C,0.8888888888888888,True,40,0,0.4807405677326626,9.847760000000001,0.07471,837,0,0.33430000000000004,0.28561338112305856,0.6073000000000001,0.26993186190330254,229,3,2
YAL022C,0.0,False,49,0,0.4603036263060848,2255.808403333333,0.09677999999999999,517,0,0.1618,0.26965764023210836,0.49060000000000004,0.2386848593121401,39,1,3
YAL023C,1.391304347826087,False,120,0,0.8119075151515152,29.154211428571433,0.14237,759,0,0.42590000000000006,0.21390592885375495,0.35828,0.27150118369253834,115,2,2
YAL024C,0.0,False,61,0,0.0,2.0539733333333334,0.030389999999999997,1435,0,0.32110000000000005,0.2735588850174216,0.5557000000000001,0.2323403681382653,127,2,4
YAL025C,0.14960629921259844,False,24,0,0.3265810810810811,,0.12317,306,0,0.1449,0.2148261437908497,0.37271,0.30051196982700373,165,1,5
YAL026C,0.6666666666666666,False,87,0,0.19052148528724897,111.318284,,1355,0,0.20486,0.22726612546125463,0.43648,0.24519698933799683,127,2,4
YAL027W,2.0,True,58,0,0.0,31.51238,0.11159000000000001,261,0,0.4271,0.3008659003831418,0.49596,0.24242240700662684,107,1,2
YAL028W,0.0,False,111,0,0.0,11.64834,0.04398,528,0,0.18919999999999998,0.32054621212121215,0.7146,0.24111884716501916,58,2,3
YAL029C,1.3,True,48,0,0.18780684596577019,1.7352225,0.01384,1471,0,0.2936,0.24428375254928622,0.46613,0.2558203725574532,35,2,4
YAL030W,0.0,False,23,0,-0.009232365145228192,,0.13112000000000001,117,1,0.5003,0.278037606837607,0.46065000000000006,0.24937678168168206,105,1,2
YAL031C,0.0,False,36,0,0.0,19.4691075,0.05094,760,0,0.22646000000000002,0.2782123684210526,0.5297,0.25758901170383186,0,2,4
YAL032C,0.5,False,35,0,0.02765591397849463,4.86846,0.09427999999999999,379,0,0.27206,0.265801055408971,0.43790000000000007,0.2803492718032006,34,3,2
YAL033W,0.16666666666666666,True,17,0,0.23548613376835237,51.58112999999999,0.10309000000000001,173,0,0.27006,0.3201780346820809,0.6112,0.2421505782682587,74,2,2
YAL034C,0.0,False,98,0,0.0,,,413,0,0.22160000000000002,0.2822561743341404,0.53895,0.25817390475456753,124,3,4
